,0
0,-20
1,-20
2,-20
3,-20
4,-20
5,-20
6,-20
7,-20
8,-20
9,-20
10,-20
11,-20
12,-20
13,-20
14,-20
15,-20
16,-20
17,-20
18,-20
19,-20
20,-20
21,-20
22,-20
23,-20
24,-20
25,-20
26,-20
27,-20
28,-20
29,-20
30,-20
31,-20
32,-20
33,-20
34,-20
35,-20
36,-20
37,-20
38,-20
39,-20
40,-20
41,-20
42,-20
43,-20
44,-20
45,-20
46,-20
47,-20
48,-20
49,-20
50,-20
51,-20
52,-20
53,-20
54,-20
55,-20
56,-20
57,-20
58,-20
59,-20
60,-20
61,-20
62,-20
63,-20
64,-20
65,-20
66,-20
67,-20
68,-20
69,-20
70,-20
71,-20
72,-20
73,-20
74,-20
75,-20
76,-20
77,-20
78,-20
79,-20
80,-20
81,-20
82,-20
83,-20
84,-20
85,-20
86,-20
87,-20
88,-20
89,-20
90,-20
91,-20
92,-20
93,-20
94,-20
95,-20
96,-20
97,-20
98,-20
99,-20
100,-18
101,-18
102,-18
103,-18
104,-18
105,-18
106,-18
107,-18
108,-18
109,-18
110,-18
111,-18
112,-18
113,-18
114,-18
115,-18
116,-18
117,-18
118,-18
119,-18
120,-18
121,-18
122,-18
123,-18
124,-18
125,-18
126,-18
127,-18
128,-18
129,-18
130,-18
131,-18
132,-18
133,-18
134,-18
135,-18
136,-18
137,-18
138,-18
139,-18
140,-18
141,-18
142,-18
143,-18
144,-18
145,-18
146,-18
147,-18
148,-18
149,-18
150,-18
151,-18
152,-18
153,-18
154,-18
155,-18
156,-18
157,-18
158,-18
159,-18
160,-18
161,-18
162,-18
163,-18
164,-18
165,-18
166,-18
167,-18
168,-18
169,-18
170,-18
171,-18
172,-18
173,-18
174,-18
175,-18
176,-18
177,-18
178,-18
179,-18
180,-18
181,-18
182,-18
183,-18
184,-18
185,-18
186,-18
187,-18
188,-18
189,-18
190,-18
191,-18
192,-18
193,-18
194,-18
195,-18
196,-18
197,-18
198,-18
199,-18
200,-16
201,-16
202,-16
203,-16
204,-16
205,-16
206,-16
207,-16
208,-16
209,-16
210,-16
211,-16
212,-16
213,-16
214,-16
215,-16
216,-16
217,-16
218,-16
219,-16
220,-16
221,-16
222,-16
223,-16
224,-16
225,-16
226,-16
227,-16
228,-16
229,-16
230,-16
231,-16
232,-16
233,-16
234,-16
235,-16
236,-16
237,-16
238,-16
239,-16
240,-16
241,-16
242,-16
243,-16
244,-16
245,-16
246,-16
247,-16
248,-16
249,-16
250,-16
251,-16
252,-16
253,-16
254,-16
255,-16
256,-16
257,-16
258,-16
259,-16
260,-16
261,-16
262,-16
263,-16
264,-16
265,-16
266,-16
267,-16
268,-16
269,-16
270,-16
271,-16
272,-16
273,-16
274,-16
275,-16
276,-16
277,-16
278,-16
279,-16
280,-16
281,-16
282,-16
283,-16
284,-16
285,-16
286,-16
287,-16
288,-16
289,-16
290,-16
291,-16
292,-16
293,-16
294,-16
295,-16
296,-16
297,-16
298,-16
299,-16
300,-14
301,-14
302,-14
303,-14
304,-14
305,-14
306,-14
307,-14
308,-14
309,-14
310,-14
311,-14
312,-14
313,-14
314,-14
315,-14
316,-14
317,-14
318,-14
319,-14
320,-14
321,-14
322,-14
323,-14
324,-14
325,-14
326,-14
327,-14
328,-14
329,-14
330,-14
331,-14
332,-14
333,-14
334,-14
335,-14
336,-14
337,-14
338,-14
339,-14
340,-14
341,-14
342,-14
343,-14
344,-14
345,-14
346,-14
347,-14
348,-14
349,-14
350,-14
351,-14
352,-14
353,-14
354,-14
355,-14
356,-14
357,-14
358,-14
359,-14
360,-14
361,-14
362,-14
363,-14
364,-14
365,-14
366,-14
367,-14
368,-14
369,-14
370,-14
371,-14
372,-14
373,-14
374,-14
375,-14
376,-14
377,-14
378,-14
379,-14
380,-14
381,-14
382,-14
383,-14
384,-14
385,-14
386,-14
387,-14
388,-14
389,-14
390,-14
391,-14
392,-14
393,-14
394,-14
395,-14
396,-14
397,-14
398,-14
399,-14
400,-12
401,-12
402,-12
403,-12
404,-12
405,-12
406,-12
407,-12
408,-12
409,-12
410,-12
411,-12
412,-12
413,-12
414,-12
415,-12
416,-12
417,-12
418,-12
419,-12
420,-12
421,-12
422,-12
423,-12
424,-12
425,-12
426,-12
427,-12
428,-12
429,-12
430,-12
431,-12
432,-12
433,-12
434,-12
435,-12
436,-12
437,-12
438,-12
439,-12
440,-12
441,-12
442,-12
443,-12
444,-12
445,-12
446,-12
447,-12
448,-12
449,-12
450,-12
451,-12
452,-12
453,-12
454,-12
455,-12
456,-12
457,-12
458,-12
459,-12
460,-12
461,-12
462,-12
463,-12
464,-12
465,-12
466,-12
467,-12
468,-12
469,-12
470,-12
471,-12
472,-12
473,-12
474,-12
475,-12
476,-12
477,-12
478,-12
479,-12
480,-12
481,-12
482,-12
483,-12
484,-12
485,-12
486,-12
487,-12
488,-12
489,-12
490,-12
491,-12
492,-12
493,-12
494,-12
495,-12
496,-12
497,-12
498,-12
499,-12
500,-10
501,-10
502,-10
503,-10
504,-10
505,-10
506,-10
507,-10
508,-10
509,-10
510,-10
511,-10
512,-10
513,-10
514,-10
515,-10
516,-10
517,-10
518,-10
519,-10
520,-10
521,-10
522,-10
523,-10
524,-10
525,-10
526,-10
527,-10
528,-10
529,-10
530,-10
531,-10
532,-10
533,-10
534,-10
535,-10
536,-10
537,-10
538,-10
539,-10
540,-10
541,-10
542,-10
543,-10
544,-10
545,-10
546,-10
547,-10
548,-10
549,-10
550,-10
551,-10
552,-10
553,-10
554,-10
555,-10
556,-10
557,-10
558,-10
559,-10
560,-10
561,-10
562,-10
563,-10
564,-10
565,-10
566,-10
567,-10
568,-10
569,-10
570,-10
571,-10
572,-10
573,-10
574,-10
575,-10
576,-10
577,-10
578,-10
579,-10
580,-10
581,-10
582,-10
583,-10
584,-10
585,-10
586,-10
587,-10
588,-10
589,-10
590,-10
591,-10
592,-10
593,-10
594,-10
595,-10
596,-10
597,-10
598,-10
599,-10
600,-8
601,-8
602,-8
603,-8
604,-8
605,-8
606,-8
607,-8
608,-8
609,-8
610,-8
611,-8
612,-8
613,-8
614,-8
615,-8
616,-8
617,-8
618,-8
619,-8
620,-8
621,-8
622,-8
623,-8
624,-8
625,-8
626,-8
627,-8
628,-8
629,-8
630,-8
631,-8
632,-8
633,-8
634,-8
635,-8
636,-8
637,-8
638,-8
639,-8
640,-8
641,-8
642,-8
643,-8
644,-8
645,-8
646,-8
647,-8
648,-8
649,-8
650,-8
651,-8
652,-8
653,-8
654,-8
655,-8
656,-8
657,-8
658,-8
659,-8
660,-8
661,-8
662,-8
663,-8
664,-8
665,-8
666,-8
667,-8
668,-8
669,-8
670,-8
671,-8
672,-8
673,-8
674,-8
675,-8
676,-8
677,-8
678,-8
679,-8
680,-8
681,-8
682,-8
683,-8
684,-8
685,-8
686,-8
687,-8
688,-8
689,-8
690,-8
691,-8
692,-8
693,-8
694,-8
695,-8
696,-8
697,-8
698,-8
699,-8
700,-6
701,-6
702,-6
703,-6
704,-6
705,-6
706,-6
707,-6
708,-6
709,-6
710,-6
711,-6
712,-6
713,-6
714,-6
715,-6
716,-6
717,-6
718,-6
719,-6
720,-6
721,-6
722,-6
723,-6
724,-6
725,-6
726,-6
727,-6
728,-6
729,-6
730,-6
731,-6
732,-6
733,-6
734,-6
735,-6
736,-6
737,-6
738,-6
739,-6
740,-6
741,-6
742,-6
743,-6
744,-6
745,-6
746,-6
747,-6
748,-6
749,-6
750,-6
751,-6
752,-6
753,-6
754,-6
755,-6
756,-6
757,-6
758,-6
759,-6
760,-6
761,-6
762,-6
763,-6
764,-6
765,-6
766,-6
767,-6
768,-6
769,-6
770,-6
771,-6
772,-6
773,-6
774,-6
775,-6
776,-6
777,-6
778,-6
779,-6
780,-6
781,-6
782,-6
783,-6
784,-6
785,-6
786,-6
787,-6
788,-6
789,-6
790,-6
791,-6
792,-6
793,-6
794,-6
795,-6
796,-6
797,-6
798,-6
799,-6
800,-4
801,-4
802,-4
803,-4
804,-4
805,-4
806,-4
807,-4
808,-4
809,-4
810,-4
811,-4
812,-4
813,-4
814,-4
815,-4
816,-4
817,-4
818,-4
819,-4
820,-4
821,-4
822,-4
823,-4
824,-4
825,-4
826,-4
827,-4
828,-4
829,-4
830,-4
831,-4
832,-4
833,-4
834,-4
835,-4
836,-4
837,-4
838,-4
839,-4
840,-4
841,-4
842,-4
843,-4
844,-4
845,-4
846,-4
847,-4
848,-4
849,-4
850,-4
851,-4
852,-4
853,-4
854,-4
855,-4
856,-4
857,-4
858,-4
859,-4
860,-4
861,-4
862,-4
863,-4
864,-4
865,-4
866,-4
867,-4
868,-4
869,-4
870,-4
871,-4
872,-4
873,-4
874,-4
875,-4
876,-4
877,-4
878,-4
879,-4
880,-4
881,-4
882,-4
883,-4
884,-4
885,-4
886,-4
887,-4
888,-4
889,-4
890,-4
891,-4
892,-4
893,-4
894,-4
895,-4
896,-4
897,-4
898,-4
899,-4
900,-2
901,-2
902,-2
903,-2
904,-2
905,-2
906,-2
907,-2
908,-2
909,-2
910,-2
911,-2
912,-2
913,-2
914,-2
915,-2
916,-2
917,-2
918,-2
919,-2
920,-2
921,-2
922,-2
923,-2
924,-2
925,-2
926,-2
927,-2
928,-2
929,-2
930,-2
931,-2
932,-2
933,-2
934,-2
935,-2
936,-2
937,-2
938,-2
939,-2
940,-2
941,-2
942,-2
943,-2
944,-2
945,-2
946,-2
947,-2
948,-2
949,-2
950,-2
951,-2
952,-2
953,-2
954,-2
955,-2
956,-2
957,-2
958,-2
959,-2
960,-2
961,-2
962,-2
963,-2
964,-2
965,-2
966,-2
967,-2
968,-2
969,-2
970,-2
971,-2
972,-2
973,-2
974,-2
975,-2
976,-2
977,-2
978,-2
979,-2
980,-2
981,-2
982,-2
983,-2
984,-2
985,-2
986,-2
987,-2
988,-2
989,-2
990,-2
991,-2
992,-2
993,-2
994,-2
995,-2
996,-2
997,-2
998,-2
999,-2
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
1116,2
1117,2
1118,2
1119,2
1120,2
1121,2
1122,2
1123,2
1124,2
1125,2
1126,2
1127,2
1128,2
1129,2
1130,2
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,2
1149,2
1150,2
1151,2
1152,2
1153,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,2
1168,2
1169,2
1170,2
1171,2
1172,2
1173,2
1174,2
1175,2
1176,2
1177,2
1178,2
1179,2
1180,2
1181,2
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1188,2
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,2
1197,2
1198,2
1199,2
1200,4
1201,4
1202,4
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,4
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,4
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,4
1275,4
1276,4
1277,4
1278,4
1279,4
1280,4
1281,4
1282,4
1283,4
1284,4
1285,4
1286,4
1287,4
1288,4
1289,4
1290,4
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,6
1301,6
1302,6
1303,6
1304,6
1305,6
1306,6
1307,6
1308,6
1309,6
1310,6
1311,6
1312,6
1313,6
1314,6
1315,6
1316,6
1317,6
1318,6
1319,6
1320,6
1321,6
1322,6
1323,6
1324,6
1325,6
1326,6
1327,6
1328,6
1329,6
1330,6
1331,6
1332,6
1333,6
1334,6
1335,6
1336,6
1337,6
1338,6
1339,6
1340,6
1341,6
1342,6
1343,6
1344,6
1345,6
1346,6
1347,6
1348,6
1349,6
1350,6
1351,6
1352,6
1353,6
1354,6
1355,6
1356,6
1357,6
1358,6
1359,6
1360,6
1361,6
1362,6
1363,6
1364,6
1365,6
1366,6
1367,6
1368,6
1369,6
1370,6
1371,6
1372,6
1373,6
1374,6
1375,6
1376,6
1377,6
1378,6
1379,6
1380,6
1381,6
1382,6
1383,6
1384,6
1385,6
1386,6
1387,6
1388,6
1389,6
1390,6
1391,6
1392,6
1393,6
1394,6
1395,6
1396,6
1397,6
1398,6
1399,6
1400,8
1401,8
1402,8
1403,8
1404,8
1405,8
1406,8
1407,8
1408,8
1409,8
1410,8
1411,8
1412,8
1413,8
1414,8
1415,8
1416,8
1417,8
1418,8
1419,8
1420,8
1421,8
1422,8
1423,8
1424,8
1425,8
1426,8
1427,8
1428,8
1429,8
1430,8
1431,8
1432,8
1433,8
1434,8
1435,8
1436,8
1437,8
1438,8
1439,8
1440,8
1441,8
1442,8
1443,8
1444,8
1445,8
1446,8
1447,8
1448,8
1449,8
1450,8
1451,8
1452,8
1453,8
1454,8
1455,8
1456,8
1457,8
1458,8
1459,8
1460,8
1461,8
1462,8
1463,8
1464,8
1465,8
1466,8
1467,8
1468,8
1469,8
1470,8
1471,8
1472,8
1473,8
1474,8
1475,8
1476,8
1477,8
1478,8
1479,8
1480,8
1481,8
1482,8
1483,8
1484,8
1485,8
1486,8
1487,8
1488,8
1489,8
1490,8
1491,8
1492,8
1493,8
1494,8
1495,8
1496,8
1497,8
1498,8
1499,8
1500,10
1501,10
1502,10
1503,10
1504,10
1505,10
1506,10
1507,10
1508,10
1509,10
1510,10
1511,10
1512,10
1513,10
1514,10
1515,10
1516,10
1517,10
1518,10
1519,10
1520,10
1521,10
1522,10
1523,10
1524,10
1525,10
1526,10
1527,10
1528,10
1529,10
1530,10
1531,10
1532,10
1533,10
1534,10
1535,10
1536,10
1537,10
1538,10
1539,10
1540,10
1541,10
1542,10
1543,10
1544,10
1545,10
1546,10
1547,10
1548,10
1549,10
1550,10
1551,10
1552,10
1553,10
1554,10
1555,10
1556,10
1557,10
1558,10
1559,10
1560,10
1561,10
1562,10
1563,10
1564,10
1565,10
1566,10
1567,10
1568,10
1569,10
1570,10
1571,10
1572,10
1573,10
1574,10
1575,10
1576,10
1577,10
1578,10
1579,10
1580,10
1581,10
1582,10
1583,10
1584,10
1585,10
1586,10
1587,10
1588,10
1589,10
1590,10
1591,10
1592,10
1593,10
1594,10
1595,10
1596,10
1597,10
1598,10
1599,10
1600,12
1601,12
1602,12
1603,12
1604,12
1605,12
1606,12
1607,12
1608,12
1609,12
1610,12
1611,12
1612,12
1613,12
1614,12
1615,12
1616,12
1617,12
1618,12
1619,12
1620,12
1621,12
1622,12
1623,12
1624,12
1625,12
1626,12
1627,12
1628,12
1629,12
1630,12
1631,12
1632,12
1633,12
1634,12
1635,12
1636,12
1637,12
1638,12
1639,12
1640,12
1641,12
1642,12
1643,12
1644,12
1645,12
1646,12
1647,12
1648,12
1649,12
1650,12
1651,12
1652,12
1653,12
1654,12
1655,12
1656,12
1657,12
1658,12
1659,12
1660,12
1661,12
1662,12
1663,12
1664,12
1665,12
1666,12
1667,12
1668,12
1669,12
1670,12
1671,12
1672,12
1673,12
1674,12
1675,12
1676,12
1677,12
1678,12
1679,12
1680,12
1681,12
1682,12
1683,12
1684,12
1685,12
